48,Equipo,Equipo,"GRABADORA PORTATIL DE MINIDISCOS, CON 6 ACCESORIOS: 1 ADAPTADOR DE ALIMENTACION,CABLES DE USB,MANDO",grabadora portatil minidiscos accesorios adaptador alimentacion cables usb mando,bien,telecomunicaciones,g r a b a d o r a,p o r t a t i l,m i n i d i s c o s
49,Mobiliario,Mobiliario,CUBIERTA DE TRABAJO .90FRENTE X0.50 FONDO COLOR GRIS.,cubierta trabajo frente fondo gris,NO CLASIFICADO,NO CLASIFICADO,c u b i e r t a,t r a b a j o,f r e n t e
50,Mobiliario,Mobiliario,ARCHIVERO DE METAL DE 5 COMPATIMENTOS DE 100X45X196 CM. COLOR NEGRO,archivero metal compatimentos negro,bien,mueble,a r c h i v e r o,m e t a l,c o m p a t i m e n t o s
51,Mobiliario,Mobiliario,"MESA DE 1.20X60X75 CM. CON ESTRUCTURA NEGRA, CUBIERTA DE CAOBA TIMOLDING NEGRO",mesa estructura negra cubierta caoba timolding negro,bien,mueble,m e s a,e s t r u c t u r a,n e g r a
52,Equipo,Equipo,NO BREAK,break,electronico,telecomunicaciones,b r e a k,,
53,Mobiliario,Mobiliario,"RACK DE ACERO, COLOR NEGRO DE 2.15 METROS",rack acero negro metros,bien,trabajo,r a c k,a c e r o,n e g r o
54,Equipo,Equipo,SCANER PARA COMPUTADORA MARCA HP MODELO 3570 COLOR GRIS,scaner computadora hp gris,electronico,telecomunicaciones,s c a n e r,c o m p u t a d o r a,h p
55,Mobiliario,Mobiliario,"SILLAS SECRETARIALES ORTOPEDICAS TELA NAVY COLOR AZUL,  SISTEMA NEUMATICO, CON RODAJASMODELO VOYAG",sillas secretariales ortopedicas tela navy azul sistema neumatico rodajasmodelo voyag,bien,mueble,s i l l a s,s e c r e t a r i a l e s,o r t o p e d i c a s
56,Equipo,Equipo,"COMPAGINADORA DCIDA, 10 CHAROLAS",compaginadora dcida charolas,NO CLASIFICADO,NO CLASIFICADO,c o m p a g i n a d o r a,d c i d a,c h a r o l a s
57,Mobiliario,Mobiliario,COLOR AZUL DE .60X1.60,azul,NO CLASIFICADO,NO CLASIFICADO,a z u l,,
58,Equipo,Equipo,CDS SOFTWARE COGNOS OLAP 7.1 UNIX 7 CDS,cds software cognos olap unix cds,electronico,NO CLASIFICADO,c d s,s o f t w a r e,c o g n o s
59,Equipo,Equipo,CDS SOFTWARE COGNOS IMPROMPTU 7.1 ADMINISTRADOR 3 CDS,cds software cognos impromptu administrador cds,electronico,NO CLASIFICADO,c d s,s o f t w a r e,c o g n o s
60,Equipo,Equipo,"CPU DESKPRO SLIM CON PROCESADOR PIII, 15GB, 128MB, CD 40X",cpu deskpro slim procesador piii gb mb cd,electronico,telecomunicaciones,c p u,d e s k p r o,s l i m
61,Equipo,Equipo,PROYECTOR LCD MOD.PT-LB50SU DE 2000 LUMEN MARCA PANASONIC,proyector lcd pt lb lumen panasonic,electronico,telecomunicaciones,p r o y e c t o r,l c d,p t
62,Equipo,Equipo,TELEFONO INALAMBRICO PLANTRONICS CT10 CORDLESS HEADSET TELEPHONE,telefono inalambrico plantronics ct cordless headset telephone,electronico,telecomunicaciones,t e l e f o n o,i n a l a m b r i c o,p l a n t r o n i c s
63,Mobiliario,Mobiliario,"CREDENZA DIRECCIÓN CON CAJONERA IZQUIERDA, 1 CAJON PAPELERO Y 1 GAVETA PARA ARCHIVO DE 210X50X75 CM.",credenza dirección cajonera izquierda cajon papelero gaveta archivo,electronico,telecomunicaciones,c r e d e n z a,d i r e c c i ó n,c a j o n e r a
64,Mobiliario,Mobiliario,SILLA GIRATORIA  TELA EN COLOR TINTO,silla giratoria tela tinto,bien,mueble,s i l l a,g i r a t o r i a,t e l a
65,Mobiliario,Mobiliario,"MAMPARA CLASICA SOLIDA DE 180X120X04 CM. EN TELA, COLOR NEGRO",mampara clasica solida tela negro,bien,mueble,m a m p a r a,c l a s i c a,s o l i d a
66,Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA, TIPO BALA DE 170X75X75 CM. COLOR CAOBA",escritorio ejecutivo madera tipo bala caoba,bien,mueble,e s c r i t o r i o,e j e c u t i v o,m a d e r a
67,Equipo,Equipo,VIDEO PROYECTOR LCD DATA PROJECTOR,video proyector lcd data projector,electronico,telecomunicaciones,v i d e o,p r o y e c t o r,l c d
68,Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. MODELO HAWAII COLOR ROJO BERMELLÓN,mampara tela hawaii rojo bermellón,bien,mueble,m a m p a r a,t e l a,h a w a i i
69,Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. HAWAII COLOR ROJO BERMELLÓN,mampara tela hawaii rojo bermellón,bien,mueble,m a m p a r a,t e l a,h a w a i i
70,Equipo,Equipo,MONITOR A COLOR PANTALLA PLANA.,monitor pantalla plana,electronico,telecomunicaciones,m o n i t o r,p a n t a l l a,p l a n a
71,Equipo,Equipo,0.90 X 1.20,Sin categoria,,,Sin categoria,,
72,Equipo,Equipo,"REGULADOR DE CORRIENTE DE VOLTAJE 1000 WATTS , 4 CONTACTOS, COLOR BLANCO",regulador corriente voltaje watts contactos blanco,electronico,telecomunicaciones,r e g u l a d o r,c o r r i e n t e,v o l t a j e
73,Mobiliario,Mobiliario,"LIBRERO, COLOR NEGRO CANTOS DE PVC DE .40X.35X2.10 M.",librero negro cantos,bien,NO CLASIFICADO,l i b r e r o,n e g r o,c a n t o s
74,Equipo,Equipo,CPU PENTIUM DE 40 GB,cpu pentium gb,electronico,telecomunicaciones,c p u,p e n t i u m,g b
75,Mobiliario,Mobiliario,"ARCHIVERO HORIZONTAL DE 4 GAVETAS DE 86X48X135 CM. COLOR CAOBA, COMUN NEGRO Y CANTO NEGRO",archivero horizontal gavetas caoba comun negro canto negro,bien,mueble,a r c h i v e r o,h o r i z o n t a l,g a v e t a s
76,Mobiliario,Mobiliario,MESA CUADRADA DE MADERA CON BASE DE METAL COLOR CAFE DE 75 X 1.20,mesa cuadrada madera base metal cafe,bien,mueble,m e s a,c u a d r a d a,m a d e r a
77,Equipo,Equipo,TELEFONO DIGITAL MANOS LIBRES SIN JOG,telefono digital manos libres jog,electronico,telecomunicaciones,t e l e f o n o,d i g i t a l,m a n o s
78,Mobiliario,Mobiliario,MESA PLEGABLE DE MADERA Y METAL 76X1.52 MTS.,mesa plegable madera metal,bien,mueble,m e s a,p l e g a b l e,m a d e r a
79,Mobiliario,Mobiliario,LATERAL PARA ESCRITORIO CON CAJONERA TAMAÑO OFICIO Y CHAPA CERRADURA CON SISTEMA PARA COLGAR FOLDERS,lateral escritorio cajonera tamaño oficio chapa cerradura sistema colgar folders,bien,mueble,l a t e r a l,e s c r i t o r i o,c a j o n e r a
80,Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL CON 2 GAVETAS DE ARCHIVO COLOR BERLIN VINO,archivero horizontal gavetas archivo berlin vino,bien,mueble,a r c h i v e r o,h o r i z o n t a l,g a v e t a s
81,Mobiliario,Mobiliario,PUENTE PARA CONJUNTO AJUSTABLE HASTA 1.00 MTS COLOR BERLIN VINO,puente conjunto ajustable berlin vino,NO CLASIFICADO,NO CLASIFICADO,p u e n t e,c o n j u n t o,a j u s t a b l e
82,Equipo,Equipo,COMPUTADORA COMPAQ EXD PIII 1GHZ,computadora compaq exd piii ghz,electronico,telecomunicaciones,c o m p u t a d o r a,c o m p a q,e x d
83,Equipo,Equipo,MONITOR PARA COMPUTADORA COMPAQ,monitor computadora compaq,electronico,telecomunicaciones,m o n i t o r,c o m p u t a d o r a,c o m p a q
84,Mobiliario,Mobiliario,SILLA DE VISITAS SIN CODERAS COLOR NEGRO,silla visitas coderas negro,bien,mueble,s i l l a,v i s i t a s,c o d e r a s
85,Mobiliario,Mobiliario,REPISA NEGRA DE CUATRO COMPARTIMENTOS (PARA PONER SOBRE ESCRITORIO),repisa negra cuatro compartimentos poner escritorio,bien,mueble,r e p i s a,n e g r a,c u a t r o
86,Equipo,Equipo,COMPUTADORA PRESCOT,computadora prescot,electronico,telecomunicaciones,c o m p u t a d o r a,p r e s c o t,
87,Mobiliario,Mobiliario,SILLA SEMIEJECUTIVA PISTON NEUMATICO CON PERILLAS DE AJUSTE CON BRAZOS COLOR NEGRO,silla semiejecutiva piston neumatico perillas ajuste brazos negro,bien,mueble,s i l l a,s e m i e j e c u t i v a,p i s t o n
88,Mobiliario,Mobiliario,PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO Y 1 PARA ARCHIVO,pedestal suspendido cajon papelero archivo,bien,NO CLASIFICADO,p e d e s t a l,s u s p e n d i d o,c a j o n
89,Equipo,Equipo,LAPTOP CON DVD WRITER,laptop dvd writer,electronico,telecomunicaciones,l a p t o p,d v d,w r i t e r
90,Mobiliario,Mobiliario,ESQUINERO CON 2 COSTADOS 1.66 MTS CON EXTENSION / COLOR MAPLE,esquinero costados extension maple,bien,NO CLASIFICADO,e s q u i n e r o,c o s t a d o s,e x t e n s i o n
91,Mobiliario,Mobiliario,FRIGOBAR GE,frigobar,bien,NO CLASIFICADO,f r i g o b a r,,
92,Mobiliario,Mobiliario,BANCO DE MADERA DE ESCALON COLOR CAFE,banco madera escalon cafe,bien,NO CLASIFICADO,b a n c o,m a d e r a,e s c a l o n
93,Mobiliario,Mobiliario,CARRO TRANSPORTADOR DE LIBROS COLOR ARENA DE 95 X 50,carro transportador libros arena,transporte,terrestre,c a r r o,t r a n s p o r t a d o r,l i b r o s
94,Mobiliario,Mobiliario,ENTREPAÑO DE ANAQUEL DOBLE DE 89 X 60 CM,entrepaño anaquel doble,bien,mueble,e n t r e p a ñ o,a n a q u e l,d o b l e
95,Mobiliario,Mobiliario,ESTANTERIA DE 360 X 211 CM,estanteria,bien,NO CLASIFICADO,e s t a n t e r i a,,
96,Mobiliario,Mobiliario,ESTANTERIA DE METAL DE 211 X 733 CM,estanteria metal,bien,NO CLASIFICADO,e s t a n t e r i a,m e t a l,
97,Mobiliario,Mobiliario,MESAS DE MADERA DE 300 DE LARGO X 58 DE ANCHO X 83 DE ALTO,mesas madera largo ancho alto,bien,mueble,m e s a s,m a d e r a,l a r g o
98,Mobiliario,Mobiliario,GABINETE TIPO ALACENA CON LLAVE 2 PUERTAS,gabinete tipo alacena llave puertas,bien,mueble,g a b i n e t e,t i p o,a l a c e n a
99,Mobiliario,Mobiliario,ARCHIVERO DE MADERA 4 CAJONES COLOR NATURAL,archivero madera cajones natural,bien,mueble,a r c h i v e r o,m a d e r a,c a j o n e s
100,Mobiliario,Mobiliario,ARCHIVERO MADERA 3 CAJONES MEDIDA 50 X 1.26,archivero madera cajones medida,bien,mueble,a r c h i v e r o,m a d e r a,c a j o n e s
101,Mobiliario,Mobiliario,ARCHIVERO DE MADERA 2 CAJONES MADERA 50 X 66,archivero madera cajones madera,bien,mueble,a r c h i v e r o,m a d e r a,c a j o n e s
102,Mobiliario,Mobiliario,FOTOCOPIADORA MARCA RICOH FT 4822,fotocopiadora ricoh ft,electronico,NO CLASIFICADO,f o t o c o p i a d o r a,r i c o h,f t
103,Mobiliario,Mobiliario,DUPLICADORA RISO MOD: GR3770,duplicadora riso gr,NO CLASIFICADO,NO CLASIFICADO,d u p l i c a d o r a,r i s o,g r
104,Mobiliario,Mobiliario,LECTOR DE IMPRESOR DE MICROFILM MICROPINTER60 NO.SERIE 0988,lector impresor microfilm micropinter,electronico,NO CLASIFICADO,l e c t o r,i m p r e s o r,m i c r o f i l m
105,Mobiliario,Mobiliario,SOPORTA LIBROS TIPO ESCUADRA,soporta libros tipo escuadra,bien,NO CLASIFICADO,s o p o r t a,l i b r o s,t i p o
106,Mobiliario,Mobiliario,CREDENZA DE MADERA COLOR NEGRO/CAOBA DE 155CM DE LARGO X 45 CM DE ANCHO X 75 DE ALTO,credenza madera negro caoba largo ancho alto,bien,telecomunicaciones,c r e d e n z a,m a d e r a,n e g r o
107,Mobiliario,Mobiliario,MUEBLE DE MADERA PARA FICHEROS MANUALES CON 10 CAJONES EN COLOR NARURAL CON BARRA DE COLOR BCO.,mueble madera ficheros manuales cajones narural barra bco,bien,NO CLASIFICADO,m u e b l e,m a d e r a,f i c h e r o s
108,Mobiliario,Mobiliario,ESTACION DE TRABAJO COMPUESTA POR ESCRITORIO DE 2 CAJONES DE 175 CM DELARGO X 73 DE ANCHO Y X 75CM D,estacion trabajo compuesta escritorio cajones delargo ancho,bien,mueble,e s t a c i o n,t r a b a j o,c o m p u e s t a
109,Mobiliario,Mobiliario,"C / U FTE. ALTA Y BAJA 429  DE 36,24,18 Y 14  PTS",fte baja pts,NO CLASIFICADO,NO CLASIFICADO,f t e,b a j a,p t s
110,Mobiliario,Mobiliario,PARRILLA ELECTRICA MARCA TK MODELO E-602D.,parrilla electrica tk,electronico,NO CLASIFICADO,p a r r i l l a,e l e c t r i c a,t k
111,Mobiliario,Mobiliario,ARCHIVERO DE 3 CAJONES,archivero cajones,bien,mueble,a r c h i v e r o,c a j o n e s,
112,Mobiliario,Mobiliario,PINTARRON BLANCO,pintarron blanco,bien,mueble,p i n t a r r o n,b l a n c o,
113,Mobiliario,Mobiliario,TELAR DE ENCUADERNACION DE 58 CMS.,telar encuadernacion,NO CLASIFICADO,NO CLASIFICADO,t e l a r,e n c u a d e r n a c i o n,
114,Mobiliario,Mobiliario,LIBRERO 1.85 X 1.67 X .46 COLOR CAOBA 4 ENTREPAÑOS,librero caoba entrepaños,bien,NO CLASIFICADO,l i b r e r o,c a o b a,e n t r e p a ñ o s
115,Mobiliario,Mobiliario,MUEBLES DE TRABAJOS LINEALES DE 1.50 MTS. DE FRENTE POR  60CM DE FONDO Y 2 MTS DE ALTURA CON SU SECC,muebles trabajos lineales frente fondo altura secc,bien,NO CLASIFICADO,m u e b l e s,t r a b a j o s,l i n e a l e s
116,Mobiliario,Mobiliario,ANUNCIO DE MADERA PARA TRIPTICOS,anuncio madera tripticos,bien,NO CLASIFICADO,a n u n c i o,m a d e r a,t r i p t i c o s
117,Mobiliario,Mobiliario,IMPRESORA EVEREST DE INTERPUNTO CARACTER EN BRAILE EN 6 PUNTOS PARALELO USB Y PROGRAMA DE FORMATEO D,impresora everest interpunto caracter braile puntos paralelo usb programa formateo,electronico,telecomunicaciones,i m p r e s o r a,e v e r e s t,i n t e r p u n t o
118,Mobiliario,Mobiliario,MOUSE GENIUS NETSCROLL TRAVELER OPTICO,mouse genius netscroll traveler optico,electronico,telecomunicaciones,m o u s e,g e n i u s,n e t s c r o l l
119,Mobiliario,Mobiliario,"SACAPUNTAS ELECTRICO, MRC: ELMERS, MOD: 1921X, COLOR NEGRO",sacapuntas electrico mrc elmers negro,accesorios,electricos,s a c a p u n t a s,e l e c t r i c o,m r c
120,Mobiliario,Mobiliario,"VIDEOCASSETERA MARCA PANASONIC NSF2SA21752, MODELO MB-021PX",videocassetera panasonic nsf mb px,electronico,NO CLASIFICADO,v i d e o c a s s e t e r a,p a n a s o n i c,n s f
121,Mobiliario,Mobiliario,FOTOCOPIADORA MITA DC- 3060,fotocopiadora mita dc,electronico,NO CLASIFICADO,f o t o c o p i a d o r a,m i t a,d c
122,Mobiliario,Mobiliario,MEZA REDONAD COLOR PINO 1.45MTS DE DIAMETRO,meza redonad pino diametro,electronico,telecomunicaciones,m e z a,r e d o n a d,p i n o
123,Mobiliario,Mobiliario,PORTA LIBROS CARRITO AMARILLO 90CMS POR 18.5 CMS,porta libros carrito amarillo,bien,NO CLASIFICADO,p o r t a,l i b r o s,c a r r i t o
124,Equipo,Equipo,PROTECTOR DE PANTALLA,protector pantalla,electronico,telecomunicaciones,p r o t e c t o r,p a n t a l l a,
125,Mobiliario,Mobiliario,SILLON 2 PLAZAS,sillon plazas,bien,mueble,s i l l o n,p l a z a s,
126,Equipo,Equipo,ARCHIVERO CON 3 CAJONES EN COLOR GRIS.,archivero cajones gris,bien,mueble,a r c h i v e r o,c a j o n e s,g r i s
127,Mobiliario,Mobiliario,PANTALLA TRIPIE ALFRA SILVER SCREEN 1.80,pantalla tripie alfra silver screen,electronico,telecomunicaciones,p a n t a l l a,t r i p i e,a l f r a
128,Equipo,Equipo,MOUSE LASSER,mouse lasser,electronico,telecomunicaciones,m o u s e,l a s s e r,
129,Mobiliario,Mobiliario,"P/MESA DE 72"" PARK AVENUE",mesa park avenue,bien,mueble,m e s a,p a r k,a v e n u e
130,Equipo,Equipo,SCANER COLOR BLANCO,scaner blanco,electronico,telecomunicaciones,s c a n e r,b l a n c o,
131,Equipo,Equipo,COMPUTADORA HP DC7600 P4 3.2 GHZ 512 MB CD-ROM WIN XP,computadora hp dc ghz mb cd rom win xp,electronico,telecomunicaciones,c o m p u t a d o r a,h p,d c
132,Transporte,Transporte,"AIRE ACONDICIONADO  ,TRANSMISION AUTOMATICA 12 PASAJEROS",aire acondicionado transmision automatica pasajeros,transporte,terrestre,a i r e,a c o n d i c i o n a d o,t r a n s m i s i o n
133,Equipo,Equipo,DVD-RW,dvd rw,electronico,telecomunicaciones,d v d,r w,
134,Equipo,Equipo,REGULADOR SOLA MICRO SEA 1600,regulador sola micro,electronico,telecomunicaciones,r e g u l a d o r,s o l a,m i c r o
135,Mobiliario,Mobiliario,MESA LARGA 1.83*.76*.75,mesa larga,bien,mueble,m e s a,l a r g a,
136,Equipo,Equipo,MEMORIA KINGNSTON 512 MB INTERNO (INSTALADO EN EL EQUIPO CON N/S:MXJ5150028),memoria kingnston mb interno instalado equipo mxj,electronico,telecomunicaciones,m e m o r i a,k i n g n s t o n,m b
137,Mobiliario,Mobiliario,MUEBLE DE BAÑO,mueble baño,bien,NO CLASIFICADO,m u e b l e,b a ñ o,
138,Mobiliario,Mobiliario,SILLA TAPIZ NEGRO,silla tapiz negro,bien,mueble,s i l l a,t a p i z,n e g r o
139,Equipo,Equipo,COMPUTADORA LAP TOP,computadora top,electronico,telecomunicaciones,c o m p u t a d o r a,t o p,
140,Equipo,Equipo,DE C02 DE 4.5 KG,Sin categoria,,,Sin categoria,,
141,Equipo,Equipo,DE GUSANO,gusano,NO CLASIFICADO,NO CLASIFICADO,g u s a n o,,
142,Equipo,Equipo,"COMPUTADORA PORTATIL SATELITE PRO CENTRINO 1.3GHZ 512MB, 40GB, 14.1 PULGADAS, WIN XP PRO.",computadora portatil satelite centrino ghz mb gb pulgadas win xp,bien,telecomunicaciones,c o m p u t a d o r a,p o r t a t i l,s a t e l i t e
143,Mobiliario,Mobiliario,RESPALDO BAJO,respaldo,NO CLASIFICADO,NO CLASIFICADO,r e s p a l d o,,
